Aruco_ID,Cam_ID,Time,X,Y,Z,x_rot,y_rot,z_rot,Aruco_ID,Cam_ID,Time,X,Y,Z,x_rot,y_rot,z_rot
20,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
20,9,0,0.299829373,5.181111288,0.765389225,0.080908544,-0.0142342,1.486424528,23,0,0,0,0,0,0,0,0
20,9,0.008967876,0.299829373,5.181111288,0.765389225,0.080908544,-0.0142342,1.486424528,23,5,0.008967876,13.00356896,5.737408186,0.745421792,0.105769538,-0.088638914,-0.033177723
20,9,0.488223553,0.302421946,5.179830014,0.767831472,0.544808524,-0.341421869,1.37910445,23,5,0.488223553,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,0.942420244,0.299829373,5.181111288,0.765389225,0.080908544,-0.0142342,1.486424528,23,5,0.942420244,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,1.388410568,0.299829373,5.181111288,0.765389225,0.080908544,-0.0142342,1.486424528,23,5,1.388410568,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,1.836829662,0.302421946,5.179830014,0.767831472,0.544808524,-0.341421869,1.37910445,23,5,1.836829662,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,2.286849737,0.302421946,5.179830014,0.767831472,0.544808524,-0.341421869,1.37910445,23,5,2.286849737,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,0,0,0,0,0,0,0,0,23,5,2.737847328,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,0,0,0,0,0,0,0,0,23,5,3.189053297,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,3.640246153,0.279514655,5.194605047,0.696084851,0.186533076,-0.200886656,1.311624184,23,5,3.640246153,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,4.096880913,0.273903319,5.198563681,0.680770081,0.21178448,-0.093862856,1.012307239,23,5,4.096880913,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,4.550932407,0.269914045,5.200359731,0.669108403,0.159498388,-0.084220742,0.605895514,23,0,4.550932407,0,0,0,0,0,0
20,9,5.001352549,0.289344597,5.182279897,0.756345395,0.121297913,-0.036299966,0.040842363,23,5,5.001352549,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,5.456453085,0.287102219,5.183338143,0.751857966,0.14181732,-0.008235499,0.046536292,23,5,5.456453085,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,5.914209843,0.287102219,5.183338143,0.751857966,0.14181732,-0.008235499,0.046536292,23,5,5.914209843,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,6.357424974,0.285572742,5.187717508,0.742812509,0.093895404,0.01777587,-0.086682871,23,5,6.357424974,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,6.810734987,0.281639242,5.19181369,0.734009272,0.148448671,-0.007324723,-0.47732096,23,5,6.810734987,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,7.258496284,0.278663413,5.195825742,0.722814001,0.055579409,0.041049275,-0.59928742,23,5,7.258496284,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,7.71120882,0.280885591,5.193424385,0.737562407,0.075139166,0.0273744,-0.6826134,23,5,7.71120882,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,8.165079355,0.274584684,5.197352783,0.716360362,0.089228176,0.059240201,-0.68911273,23,5,8.165079355,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,8.627397776,0.266907009,5.205087878,0.683727587,0.088470152,0.053629642,-0.778046275,23,5,8.627397776,13.00356896,5.737408186,0.745421792,0.105769538,-0.088638914,-0.033177723
20,9,9.080680132,0.272033098,5.205023412,0.70684109,0.024438515,0.067720146,-1.129691961,23,5,9.080680132,13.00273343,5.728336661,0.769944162,0.049981979,-0.068331411,-0.033807393
20,9,9.534743071,0.278799104,5.202363889,0.721826724,-0.030669148,0.061484687,-1.399769296,23,5,9.534743071,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,9.98648715,0.281530493,5.201281614,0.723722561,-0.488775813,0.509790939,-1.52207613,23,5,9.98648715,13.00273343,5.728336661,0.769944162,0.049981979,-0.068331411,-0.033807393
20,9,10.43973875,0.28764602,5.1991894,0.744158736,-0.045342913,-0.013250169,-1.552729282,23,5,10.43973875,13.00273343,5.728336661,0.769944162,0.049981979,-0.068331411,-0.033807393
20,9,10.8901701,0.287711079,5.200600118,0.737614595,-0.023120941,-0.016675812,-1.951174041,23,5,10.8901701,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,11.34349775,0.264825492,5.222567245,0.64870624,-0.124048791,0.006892636,-2.354805309,23,5,11.34349775,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,11.79605961,0.283510566,5.205844223,0.709526934,-0.047231001,0.016745281,-2.377846738,23,5,11.79605961,13.00273343,5.728336661,0.769944162,0.049981979,-0.068331411,-0.033807393
20,9,12.26146555,0.270171233,5.215017443,0.667547418,-0.079452522,-0.008872741,-2.367125371,23,5,12.26146555,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,12.7197361,0.267549493,5.218853366,0.640435136,-0.136160981,0.006638505,-2.366325863,23,5,12.7197361,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,13.17212057,0.280548862,5.208852288,0.687820292,-0.09539828,-0.048093013,-2.324740982,23,5,13.17212057,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,13.62171221,0.274608897,5.212864068,0.670945744,-0.132621862,-0.040031922,-2.320778183,23,5,13.62171221,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
20,9,14.07126021,0.2740229,5.21213198,0.673938367,-0.07920549,0.03804722,-2.298794287,23,0,14.07126021,0,0,0,0,0,0
20,9,14.52301168,0.282318773,5.204852361,0.680776439,-0.091247089,0.006248348,-2.303445696,23,5,14.52301168,13.00250401,5.725771459,0.78021986,0.06664572,-0.103983941,-0.037715766
