IDs,,,,,,,
1181,0,5,7,3,4,3,67
1251,0,7,7,4,6,4,132
1418,0,7,7,4,7,5,162
1600,0,7,7,1,7,7,67
2241,0,7,7,7,4,6,52
2276,1,7,7,1,2,6,145
2652,1,7,7,1,6,3,44
3088,1,6,7,1,7,3,47
3907,1,4,7,1,7,3,71
4105,1,7,7,4,7,2,94
4399,1,7,5,7,7,6,107
5754,0,7,7,1,4,4,88
5834,1,3,3,4,6,3,131
6400,0,2,3,1,1,4,116
6605,1,7,7,4,5,3,83
6801,0,7,7,2,2,4,120
7194,0,7,4,1,7,4,91
7623,1,7,2,3,4,4,51
7667,0,7,7,2,2,6,93
8004,1,7,7,5,7,5,103
8414,1,7,7,1,7,3,92
8521,1,6,6,2,7,6,184
8864,1,7,7,3,6,3,100
8989,0,4,6,1,2,6,70
