1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,2,2,2,3,3,3,3,3,1,2,2,2,2,2,3,3,3,3,3,1,2,2,2,2,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75,1,1,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75,1,1,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0
174,93,61,129,81,146,33,175,90,51,119,1686,637,185,54,596,565,1460,92,63,327,34,2000,458,231,1158,357,816,110,271,94,252,1420,0,0,0,0,0,0,0,0,0,0,0,0
44,66,38,116,45,75,100,197,127,508,48,1152,1544,89,96,124,110,99,147,326,42,354,2000,1855,567,394,33,185,739,383,1277,50,58,0,0,0,0,0,0,0,0,0,0,0,0
170,82,109,82,65,63,89,155,99,74,99,984,1547,524,304,37,204,77,52,40,117,238,2000,726,300,1238,849,1480,153,81,81,344,168,0,0,0,0,0,0,0,0,0,0,0,0
92,120,132,89,187,89,64,57,54,131,534,2000,695,69,60,80,809,759,190,27,300,275,2000,771,384,474,72,252,170,447,474,811,2000,0,0,0,0,0,0,0,0,0,0,0,0
166,66,358,271,33,142,83,81,148,77,49,1195,87,859,51,488,809,862,83,62,58,512,2000,480,157,1180,466,382,121,431,271,638,250,0,0,0,0,0,0,0,0,0,0,0,0
95,64,56,62,111,71,66,88,69,46,57,2000,458,94,224,415,116,284,31,741,35,37,2000,1019,557,441,157,1017,978,64,47,1041,35,0,0,0,0,0,0,0,0,0,0,0,0
156,129,54,60,109,135,78,53,79,67,64,1050,595,234,60,58,450,715,70,323,382,34,2000,2000,70,253,455,74,260,65,324,132,1682,0,0,0,0,0,0,0,0,0,0,0,0
53,147,73,173,66,55,142,84,53,96,146,2000,443,67,341,581,166,757,64,159,96,23,2000,2000,282,94,44,1824,652,380,407,1213,1017,0,0,0,0,0,0,0,0,0,0,0,0
176,112,70,117,210,66,66,68,66,93,70,2000,438,39,136,262,296,276,34,216,322,31,2000,844,196,55,829,456,141,60,224,213,436,0,0,0,0,0,0,0,0,0,0,0,0
66,150,34,81,100,376,108,64,230,54,373,482,895,70,58,49,83,335,125,226,428,579,2000,1048,313,1987,106,311,368,86,359,414,2000,0,0,0,0,0,0,0,0,0,0,0,0
110,46,96,90,48,51,82,117,81,62,174,2000,577,48,829,478,564,727,39,222,28,62,2000,1876,106,511,511,1063,776,49,29,1028,449,0,0,0,0,0,0,0,0,0,0,0,0
82,165,78,199,77,132,75,66,58,59,120,1574,133,432,215,123,1051,423,149,36,32,63,2000,979,575,805,77,2000,330,73,134,823,27,0,0,0,0,0,0,0,0,0,0,0,0
101,183,126,98,64,65,58,160,46,151,71,2000,1307,137,611,78,257,443,134,59,401,780,2000,933,920,403,243,277,464,80,44,107,1820,0,0,0,0,0,0,0,0,0,0,0,0
71,98,106,170,59,93,93,58,42,77,178,844,664,181,368,796,42,153,112,36,270,293,2000,700,316,685,276,591,469,226,888,907,2000,0,0,0,0,0,0,0,0,0,0,0,0
109,71,151,177,53,80,90,80,79,110,114,2000,517,154,522,1897,624,327,96,354,384,49,2000,989,952,624,1398,152,1517,92,80,616,87,0,0,0,0,0,0,0,0,0,0,0,0
77,90,61,52,87,64,92,52,48,54,225,2000,369,137,212,163,461,408,356,711,760,669,2000,2000,463,1003,511,495,524,245,489,49,796,0,0,0,0,0,0,0,0,0,0,0,0
55,110,80,143,294,181,73,74,190,62,113,897,987,69,406,80,314,437,39,211,405,77,2000,1020,674,83,200,656,242,56,174,1776,660,0,0,0,0,0,0,0,0,0,0,0,0
97,71,80,205,70,26,73,59,45,358,158,2000,75,132,43,211,888,153,33,43,33,41,2000,1255,677,320,354,464,522,72,40,638,43,0,0,0,0,0,0,0,0,0,0,0,0
138,126,139,88,39,86,62,42,68,99,149,2000,87,144,349,273,898,527,200,215,261,260,2000,1203,63,1337,42,966,264,385,323,46,266,0,0,0,0,0,0,0,0,0,0,0,0
154,77,76,54,63,105,47,63,120,102,80,1970,54,200,64,86,462,905,38,225,439,1045,2000,2000,577,98,189,1253,164,107,534,1295,1267,0,0,0,0,0,0,0,0,0,0,0,0
