strategy,run,pid,condition,whichrobot,timesec,success,expTime,c4flag,matfile
1,4,2276,4,3,13.5,1,16.267,1,../../simdata-nr=3/alpha_t/TotalDist/00004/2276/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,4,2652,1,3,38.5,1,318.52,1,../../simdata-nr=3/alpha_t/TotalDist/00004/2652/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,4,2652,2,0,23,0,30.292,1,../../simdata-nr=3/alpha_t/TotalDist/00004/2652/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,4,2652,3,3,58,1,153.93,1,../../simdata-nr=3/alpha_t/TotalDist/00004/2652/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,4,2652,4,0,130.5,0,5.48,1,../../simdata-nr=3/alpha_t/TotalDist/00004/2652/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,4,4399,1,3,15,1,214.21,1,../../simdata-nr=3/alpha_t/TotalDist/00004/4399/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,4,4399,2,0,51.5,0,46.374,1,../../simdata-nr=3/alpha_t/TotalDist/00004/4399/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,4,4399,3,0,55,0,49.501,1,../../simdata-nr=3/alpha_t/TotalDist/00004/4399/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,4,4399,4,0,188,0,25.826,1,../../simdata-nr=3/alpha_t/TotalDist/00004/4399/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,5,3472,1,2,31.5,1,144.01,0,../../simdata-nr=3/alpha_t/TotalDist/00005/3472/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,5,3472,2,0,41,0,47.274,0,../../simdata-nr=3/alpha_t/TotalDist/00005/3472/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,5,3472,3,0,103,0,113.31,0,../../simdata-nr=3/alpha_t/TotalDist/00005/3472/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
