strategy,run,pid,condition,succesfulrobot,timesec,succcess,expTime
1,13,4774,2,0,44,0,56.349
1,13,4774,3,0,67.5,0,79.836
1,13,4774,4,0,35,0,25.697
1,14,1251,1,2,11,1,186.674008810573
1,14,1251,2,0,55,0,71.126
1,14,1251,3,3,8.5,1,76.031
1,14,1251,4,2,32.5,1,55.286
1,14,3472,1,2,22.5,1,126.286343612335
1,14,3472,2,0,41,0,47.274
1,14,3472,3,0,103,0,113.31
1,14,3472,4,3,15.5,1,48.932
1,14,5754,1,2,16.5,1,95.3436123348018
1,14,5754,2,2,23.5,1,30.516
1,14,5754,3,0,68.5,0,63.153
1,14,5754,4,2,15,1,33.394
1,15,1418,1,3,79.5,1,208.013215859031
1,15,1418,2,3,9,1,79.532
1,15,1418,3,2,139,1,275.09
1,15,1418,4,0,81,0,67.384
1,15,2241,1,3,53,1,201.775330396476
1,15,2241,2,3,14,1,43.006
1,15,2241,3,0,72,0,66.821
1,15,2241,4,0,26.5,0,18.399
1,15,6400,1,0,178.5,0,152.180616740088
1,15,6400,2,0,57,0,89.609
1,15,6400,3,3,12.5,1,171.83
1,15,6400,4,2,9.5,1,46.471
1,16,1251,1,2,86,1,186.674008810573
1,16,1251,2,0,55,0,71.126
1,16,1251,3,3,22,1,76.031
1,16,1251,4,2,5.5,1,55.286
1,16,1418,1,2,32,1,208.013215859031
1,16,1418,2,2,18,1,79.532
1,16,1418,3,0,280.5,0,275.09
1,16,1418,4,2,6,1,67.384
1,16,7667,1,2,40.5,1,180.145374449339
1,16,7667,2,3,18,1,61.519
1,16,7667,3,0,148,0,142.57
1,16,7667,4,2,21.5,1,40.524
1,17,1418,1,3,133.5,1,208.013215859031
1,17,1418,2,0,85,0,79.532
1,17,1418,3,0,280.5,0,275.09
1,17,1418,4,0,81,0,67.384
1,17,8004,1,2,14.5,1,142.594713656388
1,17,8004,2,0,137.5,0,132.04
1,17,8004,3,2,10,1,62.607
1,17,8004,4,3,112.5,1,20.645
1,17,8989,1,0,421,0,373.95154185022
1,17,8989,2,0,156.5,0,151.39
1,17,8989,3,2,99.5,1,161.14
1,17,8989,4,0,224,0,11.83
1,18,1418,1,2,69,1,208.013215859031
1,18,1418,2,2,73,1,79.532
1,18,1418,3,3,172.5,1,275.09
1,18,1418,4,2,11,1,67.384
1,18,4774,1,2,18,1,222.84140969163
1,18,4774,2,0,44,0,56.349
1,18,4774,3,0,67.5,0,79.836
1,18,4774,4,0,35,0,25.697
