150.7,66.832,83.593,35.023,0,5,7,3,4,3
217.55,76.126,81.031,60.286,0,7,7,4,6,4
241.77,84.532,280.09,72.384,0,7,7,4,7,5
168.25,50.193,54.757,29.596,0,7,7,1,7,7
228.74,68.257,159.28,76.951,102.97,0,0,0,0,0
234.69,48.006,71.821,23.399,0,7,7,7,4,6
180.29,57.36,75.952,65.461,98.787,7,7,1,2,6
323.52,35.292,158.93,19.212,111.14,7,7,1,6,3
186.31,36.37,158.38,29.282,72.82,6,7,1,7,3
149.01,52.274,118.31,52.939,0,0,0,0,0,0
283.96,86.143,53.94,35.767,84.716,4,7,1,7,3
280.99,60.966,53.229,48.059,118.71,7,7,4,7,2
219.21,51.374,54.501,69.942,117.73,7,5,7,7,6
258.6,61.349,84.836,30.697,0,0,0,0,0,0
113.89,35.516,68.153,38.394,0,7,7,1,4,4
196.51,68.765,88.388,66.44,90.86,3,3,4,6,3
178.4,94.609,176.83,51.471,0,2,3,1,1,4
161.57,50.881,73.863,71.166,97.682,7,7,4,5,3
163.44,45.664,66.086,133.55,0,7,7,2,2,4
204.98,165.44,113.78,60.058,0,0,0,0,0,0
116.81,57.19,75.545,40.919,0,7,4,1,7,4
273.79,69.163,59.231,39.559,131.08,7,2,3,4,4
210.14,66.519,147.57,45.524,0,7,7,2,2,6
167.52,137.04,67.607,45.72,79.864,7,7,5,7,5
204.13,37.526,70.974,58.697,71.792,7,7,1,7,3
134.99,44.059,143.04,44.542,0,0,0,0,0,0
236.75,158.7,116.83,88.047,0,6,6,2,7,6
299.51,56.151,42.675,55.702,77.271,7,7,3,6,3
430.11,156.39,166.14,109.26,114.54,4,6,1,2,6
