66.386,66.832,83.593,29.613,5,7,3,4,3
95.836,76.126,81.031,60.286,7,7,4,6,4
106.51,84.532,280.09,72.384,7,7,4,7,5
74.118,50.193,54.757,29.596,7,7,1,7,7
103.39,48.006,71.821,22.951,7,7,7,4,6
79.423,57.36,75.952,64.531,7,7,1,2,6
142.52,35.292,158.93,19.212,7,7,1,6,3
82.075,36.37,158.38,19.967,6,7,1,7,3
125.09,86.143,53.94,32.184,4,7,1,7,3
123.78,60.966,53.229,41.358,7,7,4,7,2
96.569,51.374,54.501,49.563,7,5,7,7,6
50.172,35.516,68.153,38.394,7,7,1,4,4
86.57,68.765,88.388,57.802,3,3,4,6,3
78.591,94.609,176.83,51.471,2,3,1,1,4
71.178,50.881,73.863,40.311,7,7,4,5,3
72.002,45.664,66.086,54.84,7,7,2,2,4
51.456,57.19,75.545,40.919,7,4,1,7,4
120.61,69.163,59.231,22.158,7,2,3,4,4
92.574,66.519,147.57,41.941,7,7,2,2,6
73.795,137.04,67.607,45.72,7,7,5,7,5
89.926,37.526,70.974,40.902,7,7,1,7,3
104.29,158.7,116.83,83.534,6,6,2,7,6
131.94,56.151,42.675,45.348,7,7,3,6,3
189.47,156.39,166.14,31.233,4,6,1,2,6
