0.11732,0.11612,0.090484,0.24663,5,7,3,4,3
0.080197,0.085319,0.08074,0.089475,7,7,4,6,4
0.061136,0.067895,0.082337,0.077976,7,7,4,7,5
0.12393,0.15314,0.13442,0.24673,7,7,1,7,7
0.07681,0.12622,0.10513,0.18874,7,7,7,4,6
0.089103,0.13721,0.091226,0.094505,7,7,1,2,6
0.099327,0.19426,0.13071,0.30985,7,7,1,6,3
0.13112,0.20427,0.12251,0.25259,6,7,1,7,3
0.09199,0.090354,0.13354,0.17889,4,7,1,7,3
0.13378,0.1228,0.16321,0.14772,7,7,4,7,2
0.08551,0.14454,0.13823,0.14342,7,5,7,7,6
0.11881,0.17323,0.10157,0.12771,7,7,1,4,4
0.098293,0.092548,0.088985,0.083102,3,3,4,6,3
0.097926,0.062889,0.087954,0.079138,2,3,1,1,4
0.09632,0.17144,0.092161,0.1433,7,7,4,5,3
0.09356,0.17407,0.10789,0.10424,7,7,2,2,4
0.1293,0.10388,0.10517,0.12733,7,4,1,7,4
0.067045,0.088959,0.1034,0.22041,7,2,3,4,4
0.082427,0.096318,0.055796,0.10449,7,7,2,2,6
0.0819,0.11876,0.10719,0.10667,7,7,5,7,5
0.080671,0.16072,0.10069,0.11518,7,7,1,7,3
0.071043,0.097889,0.055289,0.068195,6,6,2,7,6
0.070184,0.1288,0.1705,0.15011,7,7,3,6,3
0.056139,0.049182,0.083183,0.18704,4,6,1,2,6
