0.81949,0.7182,0.78079,0.57695,5,7,3,4,3
1.1038,1.5061,0.58812,1.3436,7,7,4,6,4
0.77722,0.54403,1.0261,1.401,7,7,4,7,5
1.1162,0.50477,1.4292,0.66528,7,7,1,7,7
1.0611,0.41057,1.1285,2.1347,7,7,7,4,6
1.4994,0.69742,1.4333,1.1794,7,7,1,2,6
0.8607,1.832,1.3454,0.41986,7,7,1,6,3
0.67205,0.50075,0.9521,0.35189,6,7,1,7,3
0.89245,1.1155,0.71752,1.7373,4,7,1,7,3
0.69849,0.66446,0.71693,1.1947,7,7,4,7,2
1.3843,0.58606,1.447,0.65264,7,5,7,7,6
1.1364,1.4892,1.1473,1.6427,7,7,1,4,4
0.90302,0.9491,1.0632,0.98844,3,3,4,6,3
0.95922,1.6417,0.71306,1.6025,2,3,1,1,4
1.1709,0.73829,1.7828,1.1602,7,7,4,5,3
0.88106,0.69553,0.60736,1.0566,7,7,2,2,4
0.51673,1.6376,0.98058,1.4798,7,4,1,7,4
1.156,0.6168,0.69891,0.5003,7,2,3,4,4
0.62768,0.55568,1.0387,1.6755,7,7,2,2,6
1.4194,1.0495,1.3284,2.1325,7,7,5,7,5
1.2356,0.33455,1.2634,1.8184,7,7,1,7,3
0.83266,0.89041,1.0011,1.3805,6,6,2,7,6
1.0414,0.72235,1.6971,0.77231,7,7,3,6,3
0.74575,1.2069,1.0864,0.81588,4,6,1,2,6
