8.2775,8.2775,8.2775,8.2775,8.2776,8.2784,8.2782,8.2771,8.2772,8.2772,8.2761,8.2732,8.2717,8.2718,8.3063,8.3525,8.4257,8.5284,8.6633,8.7883,8.9135,9.108,9.3379,9.5293,9.7491,9.9449,10.181,10.38,10.575,10.788,10.993,11.213,11.399,11.607,11.821,12.036,12.25,12.456,12.605,12.776,12.972,13.185,13.371,13.569,13.571,13.576,13.578,13.575,13.575,13.575,13.579,13.593,13.618,13.647,13.689,13.739,13.8,13.826,13.824,13.831,13.825,13.825,13.825,13.825,13.825,13.825,13.825
3.2053,3.2052,3.2051,3.2051,3.2054,3.2113,3.2129,3.2161,3.2177,3.2173,3.2081,3.2047,3.2049,3.2075,3.2206,3.2308,3.2273,3.2167,3.226,3.2362,3.2386,3.2398,3.2259,3.2063,3.2008,3.1558,3.0643,3.1865,3.1854,3.1554,3.1515,3.1414,3.0959,3.0327,2.9706,2.9096,2.8486,2.7982,2.8071,2.8058,2.7594,2.7144,2.6685,2.6075,2.5981,2.6112,2.5997,2.6051,2.6051,2.6051,2.6021,2.5742,2.5072,2.4319,2.3236,2.2025,2.0586,1.9909,1.9864,1.9927,1.9954,1.9868,1.9875,1.9951,1.9929,1.9871,1.9867
-0.027562,-0.01379,-0.00066331,-3.1226e-05,1.3992,1.4721,1.9391,1.6079,1.4706,-1.6009,-1.9988,-2.471,1.4812,0.40226,0.33001,0.029405,-0.10839,0.052147,0.096911,0.030172,0.027143,0.0023077,-0.070713,-0.086233,-0.0090496,-0.2605,-0.35671,0.59153,-0.13752,-0.094314,-0.012307,-0.055829,-0.24899,-0.28217,-0.27728,-0.27704,-0.27703,-0.23712,0.072654,-0.038493,-0.24041,-0.1867,-0.25003,-0.29619,-1.2909,1.3748,-1.1198,1.1785,1.3286,0.080373,-0.96988,-1.1858,-1.1933,-1.1947,-1.1855,-1.1701,-1.1707,-1.2281,-1.6167,1.4066,1.5536,-1.4339,1.4192,1.5535,-1.4339,-1.5745,-0.074119
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389,0.75389
